age,citi,day1,day10,day11,day12,day13,day14,day2,day3,day4,day5,day6,day7,day8,day9,duration,maxgroupsize,name,operatedin,physicalrating,price,rating,tourid,touroperator,url
"
                    English, German
                ","Kathmandu,Lukla,Phakding,Namche Bazar,Dingboche,Lobuche,Everest Base Camp,Gorak Shep,Pheriche",Day 01: Arrival Day in Kathmandu,"Day 10: Hike to Kalapatthar (5,545m) and Trek to Pheriche (4,317m)","Day 11: Trek to Namche (3,950m)","Day 12: Trek to Lukla (2,860m)","Day 13: Fly to Kathmandu (1,400m)",Day 14: Departure Day,"Day 02: Fly to Lukla and Trek to Phakding (2,610m)","Day 03: Trek to Namche (3,440m)",Day 04: Acclimatization Day,"Day 05: Trek to Tengboche (3,860m)","Day 06: Trek to Dingboche (4,410m)",Day 07: Acclimatization Day,"Day 08: Trek to Lobuche (4,910m)","Day 09: Trek to Everest Base Camp (5,364m) via Gorakshep (5,164m)",,"
                        10                    ","
            Everest Base Camp Trek        ","
                    115685
                ","
                        8 to 80
                    ","US
                        $1,995","
      4.7
    (
      (37)
    ",,"
                    Himalaya Heart Treks & Expedition[P] Ltd 
                ",https://www.tourradar.com/115685
,"Kathmandu,Nagarkot,Bhaktapur,,,,,,",Day 1: Kathmandu valley Sightseeing,,,,,,Day 2: Kathmandu to Sundarijal (1350m) Drive and trek to Chisapani (2140m),Day 3: Chisapani to Nagarkot Hike (2195m),Day 4: Hike to Dhulikhel and Drive to Namobuddha (Largest monastery and school of monk) stay overnight with the monk.,Day 5: Namanuddha to Bhaktspur for sightseeing and back to Kathmandu hotel,,,,,,,"
            Nepal cultural and natural expreance tour        ",,,"US
                        $499","
      5.0
    (
      (1)
    ",,,https://www.tourradar.com/115685
,"Kathmandu,Pokhara,Ghorepani,Annapurna,,,,,",Day 01: Arrive at Tribhuwan International Airport (KTM) Kathmandu ,,,,,,Day 02: Fly To Pokhara (910m/2985ft) 25-Min then trek to Tikhe Dhunga (1495m/4903ft) Duration: 5 Hrs,"Day 03 Tikhedhunga to Ghorepani (2,850m/9,348ft) Duration: 7 hrs ","Day 04: Hike up to Poon Hill and onto Tadapani (2,610m/8,560ft) Duration: 7 - 8 hrs ",Day 05: Tadapani - Pokhara - Kathmandu,Day 06: Farewell,,,,,,"
            Annapurna Poon Hill Trek        ",,,"US
                        $780","
      4.8
    (
      (4)
    ",,,https://www.tourradar.com/115685
"
                    English
                ","Kathmandu,Pokhara,Annapurna,,,,,,","Day 1: Arrival in Kathmandu (1,300m/4,264ft)",Day 10:  Fly to Kathmandu  We fly back to Kathmandu in the afternoon,Day 11:  Final Departure: Home Sweet Home ,,,,"Day 2: Fly to Pokhara (823m/2,700ft) 30 minute flight, trek to Ghandruk (1940m/6360 ft): 5 – 6 hours trek ",Day 3: Ghandruk to Chhomrong (2170m/7120ft): 5 – 6 hours ,Day 4: Chhomrong to Bamboo (2310m/7578ft): 4 – 5 hours,"Day 5: Bamboo to Deurali (3230m/10,595ft): 3 – 4 hours  ","Day 6:  Deurali to Annapurna Base Camp (4,130m/13,545ft) via Machhapuchhre Base Camp (3700m/12135ft): 5 – 6 hours",Day 7: Annapurna Base Camp to Bamboo: 7 – 8 hours  ,Day 8: Bamboo to Jhinu Danda (1760m/5770 ft): 5 – 6 hours  ,"Day 9: Trek to Naya Pul then drive to Pokhara: 6 hours trek,",,"
                        40                    ","
            11 Days -ANNAPURNA BASE CAMP TREK         ","
                    169802
                ","
                        10 to 85
                    ","US
                        $1,299","
      5.0
    (
      (11)
    ",,"
                    Serene Himalaya Treks and Expedition 
                ",https://www.tourradar.com/115685
,",,,,,,,,","Day 1:  Arrival In Kathmandu( TIA) International Airport(1,365m) Transfer To Hotel Evening Welcome Dinner With Culture Dance. O At Hotel",Day 10: Drive Back To Kathmandu -8 Hours Local Drive,Day 11: Departure From Nepal. Airport Drop As Per Schedule.,,,,"Day 2: Kathmandu Sightseeing And Trek Preparations. O At Hotel,","Day 3: Drive From Kathmandu To Syaphrubeshi (1,503 M) 7 Hrs Drive,O At Tea House","Day 4: Trek To Lama Hotel (2,500m) 5 Hrs Walk, O At Tea House","Day 5 : Trek Lama Hotel – Langtang (3,430m) 6-7 Hrs, O At Tea House","Day 6 : Trek To Kyanjin Gompa 3 Hrs Walk, O At Tea House",Day 7:  Kyanjin Gompa – Langshisha Kharka 4285 M- Kyanjin Gompa 7-8 Hrs Walk,Day 8: Trek Kyanjin Gompa – Lama Hotel (2500m) 6-7 Hrs Walk,Day 9: Lama Hotel – Sybrubensi 4-5 Hrs Walk,,,"
            Langtang Valley Trek        ",,,"US
                        $675","
      4.8
    (
      (3)
    ",,,https://www.tourradar.com/115685
,",,,,,,,,",Day 1: Drive Kathmandu Syabrubesi (1340m) 8 hours   Guest house,,,,,,Day 2: SyabrubesiLama Hotel (2480m) 6 hours   Guest house,Day 3: Lama hotel  Langtang village (3541m) 6 hours   Guest house,Day 4: Langtang  Kyanjin Gompa (3900m) 4 hours   Guest house,Day 5: Kyanjin Gompa  Tserko Ri (5033m) 5hours   Guest house,Day 6: Kyanjing  Lama hotel 7hours   Guest house,Day 7: Lama hotel  Syabrubensi -6hours   Guest house,Day 8: Syabrubensi  Kathmandu 9 hours   Hotel,,,,"
            Langtang Trek        ",,,"US
                        $650","
      4.7
    (
      (12)
    ",,,https://www.tourradar.com/111932
"
                    English
                ","Kathmandu,Pokhara,Ghorepani,Annapurna,,,,,",Day 1: Arrival at Kathmandu 1350m/4428ft.,,,,,,Day 2: Kathmandu – Pokhara 850m/2788ft- 7 hrs drive.,Day 3: Pokhara – Tikhedunga 1510m/3810ft- 4 hrs walk approx,Day 4: Tikhedunga – Gorepani 2750m/9348ft- 5/6 hrs walk approx ,Day 5: Gorepani – Tadapani 2610m/8560ft- 4/ hrs walk approx,Day 6: Tadapani – Ghandruk-Nayapul 4 hrs walk and 1.30 hrs drive to Pokhara. ,Day 7: Pokhara – Kathmandu 7 hrs by drive.,,,,"
                        12                    ","
            Poon Hill Trek- Annapurna Sunrise View Trek        ","
                    135605
                ","
                        5 to 85
                    ","US
                        $585","
      4.8
    (
      (4)
    ",,"
                    Alpine Ramble Treks 
                ",https://www.tourradar.com/111932
,"Kathmandu,Pokhara,Annapurna,,,,,,",Day 1: Kathmandu,,,,,,Day 2: Trisuli River,Day 3: Trisuli River - Pokhara,Day 4: Ghandruk (1950m / 6397ft),Day 5: Tolkha (1700m / 5577ft),Day 6: Hemjakot (1530m / 5019ft),Day 7: Pokhara ,Day 8: Kathmandu ,,,,"
            One Week in Nepal        ",,,"US
                        $690","
      4.7
    (
      (7)
    ",,,https://www.tourradar.com/111932
"
                    English
                ",",,,,,,,,",Drive from Kathmandu to Syabrubesi ,,,,,,Trek from Syabrubesi to Lama Hotel ,Trek from Lama Hotel to Langtang Village ,Trek from Langtang Village to Kyanjin Gompa ,Hike from Kyanjin Ri to Kyanjin Gompa and Trek to Lama Hotel ,Trek from Lama hotel to Syabrubesi ,Drive from Syabrubesi to Kathmandu ,,,,"
                        10                    ","
            Langtang Short Trek         ","
                    187398
                ","
                        10 to 70
                    ","US
                        $540","
      5.0
    (
      (2)
    ",,"
                    Himalayan Recreation Treks & Expedition Pvt.ltd
                ",https://www.tourradar.com/111932
"
                    English
                ","Kathmandu,Lukla,Phakding,Namche Bazar,,,,,",Day 1: Arrival in Kathmandu and transfer to respective hotel.,,,,,,Day 2: Kathmandu to Lukla Scenic Flight and short trek to Phakding 2810m)- 4/5 hrs walk approx,"Day 3: Trek to Namche Bazaar 3,450 m /11,315 ft- 6 hrs walk.","Day 4: Trek to Lukla 2,850m/9,350ft- 6hrs",Day 5: Fly back from  Lukla to Kathmandu 35minutes.,,,,,,"
                        12                    ","
            Everest View Trek        ","
                    135606
                ","
                        5 to 85
                    ","US
                        $899","
      4.9
    (
      (4)
    ",,"
                    Alpine Ramble Treks 
                ",https://www.tourradar.com/111932
"
                    English
                ",",,,,,,,,",Day 1: Arrival in Kathmandu,Day 10: Final Departure to your destination,,,,,Day 2:  Drive from Kathmandu to Syabrubeshi ,Day 3: Trek from Syabrubeshi to Lama Hotel ,Day 4:  Trek from Lama Hotel to Langtang valley ,Day 5:  Trek from Langtang Valley to Kyanjin Gompa ,Day 6:  Explore around Kyanjin Gompa and climb to Tsego Ri ,Day 7:  Trek Kyanjin Gompa to Ghoda Tabala ,Day 8:  Trek back from Ghoda Tabela to Syabrubeshi ,Day 9:  Drive Syabrubeshi to Kathmandu ,,"
                        10                    ","
            Langtang valley Trek 9 Nights/ 10 Days        ","
                    140582
                ","
                        5 to 85
                    ","US
                        $1,499","
      4.8
    (
      (4)
    ",,"
                    Oriental Journeys Pvt. Ltd.
                ",https://www.tourradar.com/111932
,"Kathmandu,Phakding,Namche Bazar,Dingboche,Lobuche,Gorak Shep,Pheriche,Lukla,","Day 1:Kathmandu,Fly to Lukla, trek to Phakding (2,651m)","Day 10:Namche Bazaar to Lukla (2,860m/9,186ft): 19km",Day 11:Fly to Kathmandu,,,,"Day 2: Phakding to Namche Bazaar (3,438m/11,280 ft): 11km","Day 3:Acclimatization day in Namche Bazaar: (3,440m/11,284ft)","Day 4:Namche Bazaar to Tengboche (3,870m/12,694ft): 10km","Day 5:Tengboche to Dingboche (4,360 m/14,300 ft): 9km","Day 6:Dingboche to Lobuche (4940 m/16,207 ft): 4km","Day 7:Lobuche to Gorak Shep (5170 m/16,961ft), visit Everest","Day 8:Gorak Shep to Kala Patthar (5,545m/18,192ft) to Pherice","Day 9:Pheriche to Namche Bazaar (3,440m/11,280 ft): 20km",,,"
            Everest Base Camp Trek        ",,,"US
                        $1,200","
      4.8
    (
      (23)
    ",,,https://www.tourradar.com/111932
"
                    English
                ","Kathmandu,Pokhara,,,,,,,",Day 01 : Arrive at Tribhuwan International Airport (TIA) Kathmandu,,,,,,Day 02 : Fly to Pokhara (910m) 30-min then trek to Australian Camp,Day 03 : Australian Camp to Sarangkot (1991m) 6 hrs,Day 04 : Trek to Pokhara 2 hrs and fly back to Kathmandu,Day 05 : Farewell,,,,,,"
                        10                    ","
            Short Annapurna Trek         ","
                    75657
                ","
                        7 to 70
                    ","US
                        $599","
      5.0
    (
      (1)
    ",,"
                    Nepal Hiking Team
                ",https://www.tourradar.com/111932
"
                    English
                ",",,,,,,,,",Day 01 : Arrive at Tribhuwan International Airport (TIA) Kathmandu,,,,,,Day 02 : Kathmandu valley sightseeing tour,Day 03 : Drive to Sundarijal and trek to Chisapani (2150m) Duration: 5 hrs,Day 04 : Trek to Nagarkot (2175m) Duration: 5 hrs,Day 05 : Trek to Dhulikhel Duration: 5 hrs,Day 06 : Drive to Kathmandu,Day 07 : Farewell,,,,"
                        10                    ","
            Culture Blends Adventure         ","
                    75744
                ","
                        10 to 70
                    ","US
                        $699","
      4.8
    (
      (2)
    ",,"
                    Nepal Hiking Team
                ",https://www.tourradar.com/111932
"
                    English
                ","Kathmandu,Lukla,Phakding,Namche Bazar,,,,,",Day 01: Arrive at Tribhuwan International Airport (KTM) Kathmandu,,,,,,Day 02: Fly to Lukla and trek to Phakding (2652m/8699ft) Duration: 3 hours,Day 03: Trek to Namche Bazaar (3440m/11283ft) Duration: 6 hours,Day 04: Namche Bazar - Everest View Hotel - Return,Day 05: Trek to Tengboche (3860m/12660ft) Duration: 5 hours,Day 06: Trek to Namche (3440m/11283ft) via Khumjung village (3700m/12136ft) Duration: 6 hours,Day 07: Trek to Lukla (2800m/9184ft) Duration: 7 hours,Day 08: Fly back to Kathmandu,Day 09: Farewell,,"
                        12                    ","
            Everest View Trek - Experience the wonderland of the Himalayas        ","
                    75624
                ","
                        10 to 70
                    ","US
                        $1,160","
      5.0
    (
      (3)
    ",,"
                    Nepal Hiking Team
                ",https://www.tourradar.com/111932
"
                    English
                ","Kathmandu,Pokhara,Ghorepani,Annapurna,,,,,",Day 01 : Arrive at Tribhuwan International Airport (TIA) Kathmandu,,,,,,Day 02 : Kathmandu to Pokhara (910m) Duration: 6 hours drive,Day 03 : Pokhara to Tikhedhunga (1570m) Duration: 1 hour drive and 4 walking,Day 04 : Tikhedhunga to Ghorepani (2850m) Duration: 7-8 hours walking,"Day 05 : Hike up to Poon Hill (3,210m/10529ft) and onto Tadapani (2,610m/8560ft) Duration: 7 hours walking",Day 06 : Tadapani to Pokhara (910m) Duration: 7 hours walking and 1 hour drive,Day 07 : Pokhara to Kathmandu (1337m) Duration: 6 hours drive,Day 08 : Farewell,,,"
                        20                    ","
            Ghorepani Poon Hill Trekking        ","
                    75647
                ","
                        10 to 70
                    ","US
                        $740","
      4.9
    (
      (4)
    ",,"
                    Nepal Hiking Team
                ",https://www.tourradar.com/111932
"
                    English
                ","Kathmandu,Pokhara,Ghorepani,Annapurna,,,,,","Day 1: Arrival at the Tribuwan International Airport in Kathmandu (1,345m)",,,,,,Day 2: Drive to Pokhara by a tourist bus. 7 hrs.,"Day 3: Drive to Nayapul (1,010m) - 1.5 hrs Trek to Tikhedunga (1,570m) - 3 hrs","Day 4: Trek to Ghorepani (2,840m) - 5 hrs","Day 5: Hike up to Poon Hill (3,210m); and onto Tadapani (2,610m) - 6 hrs","Day 6: Trek to Ghandruk (1,940m) - 4 hrs","Day 7: Trek to Nayapul (1,010m)4hrs and 1.30hrs drive to Pokhara","Day 8: Drive back to Kathmandu (1,345m) and farewell dinner",Day 9: Transfer to the international airport for your final departure,,"
                        15                    ","
            Poon Hill & Ghorepani Trek        ","
                    106579
                ","
                        16 to 70
                    ","US
                        $1,100","
      4.5
    (
      (5)
    ",,"
                    Apex the Asia Holiday Pvt Ltd
                ",https://www.tourradar.com/111932
"
                    English
                ","Kathmandu,Lukla,Phakding,Namche Bazar,,,,,","Day 01: Kathmandu (Tribhuvan Int´l Airport) to Lukla (Tenzing Hillary Airport) early morning 30 minutes scenic flight and trek to Phakding 2,612 m/8,570 ft - 03/4 hrs.",,,,,,"Day 02: Trek to Namche Bazaar 3,440 m/11,287 ft via Sagarmatha National Park - 06/7 hrs.","Day 03: Trek to Everest View point hotel 3,800 m/12,467 ft, back to Namche - 04/5 hrs.","Day 04: Trek to Lukla 2,860 m/ 9,383 ft- 06/7 hrs.",Day 05: Lukla (Tenzing Hillary Airport) to Kathmandu (Tribhuvan Int´l Airport) fly back.,,,,,"
            5 days                        
  ","
                        6                    ","
            Everest Short Trek -5 Days        ","
                    143837
                ","
                        10 to 75
                    ","US
                        $890",(,,"
                    White Hill Adventure Treks and Expedition Pvt Ltd
                ",https://www.tourradar.com/111932
,"Kathmandu,Pokhara,Ghorepani,Annapurna,,,,,",Day 1: Arrival in Kathmandu (1400 m) (overnight at hotel with breakfast),"Day 10: Drive Or Fly To Chitwan Overnight At Resort In Chitwan. (Breakfast, Lunch And Dinner Included)",Day 11: Full Day Jungle Activities,"Day 12: Drive Back To Kathmandu (1,400 M) In A Tourist Bus - 4 Hours",Day 13:  Transfer To The International Airport For Your Final Departure,,Day 2: Combined sightseeing of Kathmandu and Bhaktapur (overnight at hotel with breakfast),Day 3: Drive to Pokhara (900 m) (overnight at hotel with breakfast),"Day 4: Drive to Nayapul (1010 m) ( 1:30 min trek to Ullere, 1960 m, 6hrs)(overnight at hotel with breakfast, lunch, and dinner)","Day 5: Trek to Ghorepani (4hrs 2874m) (overnight at hotel with breakfast, lunch, and dinner)","Day 6: Trek to Poon Hill early morning and Tadapani (3210 m and 2610 m, 7 hrs))(overnight at hotel with breakfast, lunch, and dinner) issing days","Day 7: Trek to Ghandruk ( 1940 m, 4 hrs) (overnight at hotel with breakfast, lunch, and dinner)","Day 8: Trek to Nayapul and then drive to Pokhara, 1010 m, 5 hrs) (overnight at hotel with breakfast, lunch, and dinner)",Day 9: Rest and Sightseeing In Pokhara in Pokhara (1740 m) (overnight at hotel with breakfast),,,"
            Explore Himalaya and Jungel Safari        ",,,"US
                        $960","
      5.0
    (
      (2)
    ",,,https://www.tourradar.com/111932
"
                    English
                ",",,,,,,,,","Day 1:Drive to Koto (2,600m) 9 hours   Guest house",,,,,,"Day 2:Trek to Meta (3,560m) 7 hours   Guest house","Day 3:Trek to Phu (4,080m) 6 hours   Guest house",Day 4:Exploring Phu:hours   Guest house,"Day 5:Trek to Nar Phedi (3,490m) 6hours   Guest house","Day 6:Trek to Nar (4,110m)3hours   Guest house","Day 7:Trek to Ngawal (3,675m) via the Kang La Pass (5,240m) 8hours   Guest house",Day 8:Trek to Pisang and drive to Besisahar 7hours Guest house,Day 9:Drive back to Kathmandu 7hours - Hostel,,"
                        6                    ","
            Nar Phu Valley Trek        ","
                    111932
                ","
                        9 to 75
                    ","US
                        $999","
      4.7
    (
      (3)
    ",,"
                    Mount Adventure Holidays Pvt.Ltd
                ",https://www.tourradar.com/111932
,"Kathmandu,Phakding,Namche Bazar,Lukla,,,,,",Day 01: Arrive at Kathmandu,,,,,,Day 02: Trek Preparation or Free day in Kathmandu,"Day 03: Kathmandu to Phakding via Lukla flight (2,652m) 3 hrs","Day 04: Phakding to Namche Bazaar (3,440m) 5 - 6 hrs",Day 05: Namche to Tengboche Trekking,Day 06: Tengboche to Namche /Monjo,Day 07: Namche/Monjo to Lukla,Day 8: Lukla - Kathmandu,Day 9: Farewell Travel Guest,"
            9 days                        
  ",,"
            Himalayan trek with Everest view        ",,,"US
                        $1,186",(,,,https://www.tourradar.com/119367
"
                    English
                ",",,,,,,,,",Day 01 : Arrive at Tribhuwan International Airport Kathmandu,Day 10 : Farewell,,,,,Day 02 : Drive from Kathmandu to Syabru Bensi (1462m/4795ft) Duration: 7 hrs,Day 03 : Syabru Bensi to Lama Hotel (2500m/8200ft) Duration: 5 hrs,Day 04 : Lama Hotel to Langtang Village (3307m/10845ft) Duration: 5 hrs,Day 05 : Langtang village to Kyanjing Ri (4773m/15655ft) and back to Kyanjing Gompa (3798m/12495ft) Duration: 7-8 hrs,Day 06 : Kyangjuma Gompa Exploration and climb Chorkari Ri (5050m/16564ft) Duration: 7 hrs,Day 07 : Kyanjin Gompa- Lama Hotel (2500m/8200ft) Duration: 5-6 hrs,Day08 : Lama Hotel to Syabru Bensi (1462m/4795ft) Duration: 5-6 hrs,Day 09 : Drive from Syabru Bensi to Kathmandu by bus,,"
                        12                    ","
            Langtang Valley Trek        ","
                    75671
                ","
                        12 to 65
                    ","US
                        $750","
      5.0
    (
      (2)
    ",,"
                    Nepal Hiking Team
                ",https://www.tourradar.com/119367
"
                    English
                ","Kathmandu,Pokhara,Ghorepani,Annapurna,,,,,",Day 01: Arrive at Tribhuwan International Airport (TIA) Kathmandu,,,,,,Day 02: Kathmandu Valley Sightseeing Tour,"Day 03: Kathmandu to Pokhara (910m/2,984ft) Duration: 6 hrs","Day 04: Pokhara to Tikhedhunga (1,570m/5,150ft) Duration: 4 hrs","Day 05: Tikhedhunga to Ghorepani (2,850m/9,348ft) Duration: 7 hrs","Day 06: Hike up to Poon Hill and onto Tadapani (2,610m/8,560ft) Duration: 7 - 8 hrs","Day 07: Tadapani to Pokhara, 6 hours hike, an hour drive ",Day 08: Pokhara to Kathmandu,Day 09: Farewell,,"
                        10                    ","
            Annapurna Panorama Trek        ","
                    75652
                ","
                        10 to 70
                    ","US
                        $840","
      5.0
    (
      (2)
    ",,"
                    Nepal Hiking Team
                ",https://www.tourradar.com/119367
